Protocol,Keyword
0,hopopt
1,icmp
2,igmp
3,ggp
4,ipv4
5,st
6,tcp
7,cbt
8,egp
9,igp
10,bbn-rcc-mon
11,nvp-ii
12,pup
13,argus
14,emcon
15,xnet
16,chaos
17,udp
18,mux
19,dcn-meas
20,hmp
21,prm
22,xns-idp
23,trunk-1
24,trunk-2
25,leaf-1
26,leaf-2
27,rdp
28,irtp
29,iso-tp4
30,netblt
31,mfe-nsp
32,merit-inp
33,dccp
34,3pc
35,idpr
36,xtp
37,ddp
38,idpr-cmtp
39,tp++
40,il
41,ipv6
42,sdrp
43,ipv6-route
44,ipv6-frag
45,idrp
46,rsvp
47,gre
48,dsr
49,bna
50,esp
51,ah
52,i-nlsp
53,swipe
54,narp
55,mobile
56,tlsp
57,skip
58,icmpv6
59,ipv6-nonxt
60,ipv6-opts
61,host-internal-protocol
62,cftp
63,local-network
64,sat-expak
65,kryptolan
66,rvd
67,ippc
68,sat-mon
69,visa
70,ipcv
71,cpnx
72,cphb
73,wsn
74,pvp
75,br-sat-mon
76,sun-nd
77,wb-mon
78,wb-expak
79,iso-ip
80,vmtp
81,secure-vmtp
82,vines
83,ttp
84,nsfnet-igp
85,dgp
86,tcf
87,eigrp
88,ospf
89,sprite-rpc
90,larp
91,mtp
92,ax.25
93,ipip
94,micp
95,scc-sp
96,etherip
97,encap
98,private-encryption
99,gmtp
100,ifmp
101,pnni
102,pim
103,aris
104,scps
105,qnx
106,a/n
107,ipcomp
108,snp
109,compaq-peer
110,ipx-in-ip
111,vrrp
112,pgm
113,l2tp
114,ddx
115,iatp
116,stp
117,srp
118,uti
119,smp
120,ptp
121,isis-over-ipv4
122,fire
123,crtp
124,crudp
125,sscopmce
126,iplt
127,sps
128,pipe
129,sctp
130,fc
131,rsvp-e2e-ignore
132,mobility-header
133,udplite
134,mpls-in-ip
135,manet
136,hip
137,shim6
138,wesp
139,rohc
140-252,unassigned
253,experimentation1
254,experimentation2
255,reserved
